trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.008, 'e': 0.3798419628513787}",25,17,15.742383805055635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.008, 'e': 0.37681534974292086}",20,16,8.08390792038621,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.008, 'e': 0.3738128529454665}",25,17,15.81704118910789,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.008, 'e': 0.37083428029819565}",30,16,-2.5595314422114352,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.008, 'e': 0.36787944117144233}",20,1,-51.72359797898361,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
127,False,"{'a': 0.008, 'e': 0.36494814645449375}",20,6,-7.041027247131692,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.008, 'e': 0.36204020854348745}",20,0,4.999027785316628,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.008, 'e': 0.3591554413294046}",20,0,4.496036939509526,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.008, 'e': 0.3562936601861588}",30,0,-56.617260739863084,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.008, 'e': 0.35345468195878016}",20,0,11.721581604711018,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.008, 'e': 0.35063832495169295}",25,13,13.60816537593253,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.008, 'e': 0.3478444089170874}",25,10,4.04325894442625,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.008, 'e': 0.34507275504338375}",20,6,-1.1172773731814225,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.008, 'e': 0.34232318594378797}",30,18,-13.930484919773935,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.008, 'e': 0.3395955256449391}",25,9,5.464437612473591,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.008, 'e': 0.33688959957564707}",30,20,-45.14425340938723,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.008, 'e': 0.33420523455571977}",20,5,16.40751761107161,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.008, 'e': 0.3315422587848797}",20,4,-1.112716181230492,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.008, 'e': 0.3289005018317685}",20,9,22.081736365076978,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.008, 'e': 0.32627979462303947}",30,0,-18.461504533109842,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
142,False,"{'a': 0.008, 'e': 0.3236799694325367}",20,7,-83.34412540228195,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
143,False,"{'a': 0.008, 'e': 0.32110085987056064}",20,6,8.760943201103174,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.008, 'e': 0.31854230087321894}",35,13,0.6810579243978465,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.008, 'e': 0.31600412869186245}",30,20,8.182127011089381,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.008, 'e': 0.3134861808826053}",30,0,-49.2053286973169,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.008, 'e': 0.3109882962959281}",20,2,-12.017867368104714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.008, 'e': 0.3085103150663647}",25,8,24.305577339340378,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.008, 'e': 0.3060520786022707}",20,2,19.786971184958215,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.008, 'e': 0.30361342957567317}",35,10,-18.69252513744813,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.008, 'e': 0.30119421191220214}",20,7,-1.4350899611173664,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.008, 'e': 0.29879427078110127}",20,0,-53.52796815092519,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
